company,model,fuel_type,seller_type,transmission,owner,car_age,avg_km_per_year,km_driven_log,model_cluster,company_fuel_owner,km_carage_interact,predicted_price,actual_price
Maruti,Swift VDI BSIV,Diesel,Dealer,Manual,First Owner,18,6271.111111111111,11.634089445452728,10,Maruti_Diesel_First Owner,209.41361001814911,75764850.0,59475000
Tata,Safari DICOR 2.2,Diesel,Individual,Manual,First Owner,13,10384.615384615385,11.813037464800539,12,Tata_Diesel_First Owner,153.56948704240702,95024424.0,160125000
Maruti,Alto LXi,Petrol,Individual,Manual,First Owner,17,4117.64705882353,11.156264806643742,14,Maruti_Petrol_First Owner,189.65650171294362,37724250.0,28975000
Tata,Nano XTA,Petrol,Individual,Automatic,First Owner,9,2444.4444444444443,9.99884318585288,2,Tata_Petrol_First Owner,89.98958867267592,65591740.0,67100000
Maruti,Alto 800 LXI,Petrol,Individual,Manual,First Owner,9,5555.555555555556,10.819798284210286,2,Maruti_Petrol_First Owner,97.37818455789258,82788150.0,74725000
Maruti,Swift VXI Optional,Petrol,Individual,Manual,First Owner,9,2222.222222222222,9.90353755128617,2,Maruti_Petrol_First Owner,89.13183796157554,155279490.0,164700000
Maruti,Baleno Delta 1.2,Petrol,Dealer,Manual,Second Owner,8,4250.0,10.434145214930487,2,Maruti_Petrol_Second Owner,83.4731617194439,161854980.0,183000000
Skoda,Octavia L and,Diesel,Individual,Manual,Second Owner,18,11111.111111111111,12.206077645517674,10,Skoda_Diesel_Second Owner,219.7093976193181,60530960.0,83875000
Maruti,Wagon R LXI,Petrol,Individual,Manual,First Owner,7,2000.0,9.546884034617925,6,Maruti_Petrol_First Owner,66.82818824232547,142760780.0,131150000
Fiat,Linea 1.3 Active,Diesel,Individual,Manual,Second Owner,15,5333.333333333333,11.289794413577894,0,Fiat_Diesel_Second Owner,169.3469162036684,66430456.0,61000000
Toyota,Etios VD,Diesel,Individual,Manual,First Owner,13,5730.7692307692305,11.218567827096358,12,Toyota_Diesel_First Owner,145.84138175225266,142191020.0,122000000
Maruti,Swift VDI,Diesel,Dealer,Manual,First Owner,11,6090.909090909091,11.112462823634855,7,Maruti_Diesel_First Owner,122.23709105998341,149150640.0,149450000
Chevrolet,Beat Diesel,Diesel,Individual,Manual,First Owner,12,11583.333333333334,11.842236406331555,4,Chevrolet_Diesel_First Owner,142.10683687597867,64061730.0,38125000
Maruti,Celerio ZXI Optional,Petrol,Individual,Manual,First Owner,7,1428.5714285714287,9.210440366976517,6,Maruti_Petrol_First Owner,64.47308256883562,152360830.0,176900000
Maruti,Ertiga LDI,Diesel,Individual,Manual,First Owner,13,6923.076923076923,11.407576060361786,12,Maruti_Diesel_First Owner,148.2984887847032,110704136.0,122000000
Skoda,Fabia 1.2 MPI,Petrol,Dealer,Manual,First Owner,13,4298.846153846154,10.931069180548855,5,Skoda_Petrol_First Owner,142.10389934713513,98165570.0,97600000
Maruti,Ritz VDi,Diesel,Individual,Manual,First Owner,15,8000.0,11.695255355062795,0,Maruti_Diesel_First Owner,175.42883032594193,69942504.0,66185000
Maruti,Alto LX,Petrol,Individual,Manual,First Owner,18,4333.333333333333,11.264476926102367,14,Maruti_Petrol_First Owner,202.7605846698426,29391036.0,39650000
Maruti,Wagon R LXI,Petrol,Individual,Manual,First Owner,9,2222.222222222222,9.90353755128617,2,Maruti_Petrol_First Owner,89.13183796157554,121542620.0,106750000
Maruti,Swift Ldi BSIV,Diesel,Individual,Manual,First Owner,16,7312.5,11.669937760751914,0,Maruti_Diesel_First Owner,186.71900417203062,92621110.0,85095000
Honda,City 2017-2020 GXi,Petrol,Individual,Manual,Second Owner,17,7058.823529411765,11.695255355062795,14,Honda_Petrol_Second Owner,198.8193410360675,67506744.0,47275000
Ford,Figo Diesel EXI,Diesel,Individual,Manual,First Owner,15,8000.0,11.695255355062795,0,Ford_Diesel_First Owner,175.42883032594193,55682856.0,61000000
Tata,Zest Revotron 1.2,Petrol,Individual,Manual,First Owner,5,8000.0,10.596659732783579,6,Tata_Petrol_First Owner,52.98329866391789,130150696.0,152500000
Tata,Tiago 1.2 Revotron,Petrol,Individual,Manual,First Owner,8,2500.0,9.90353755128617,2,Tata_Petrol_First Owner,79.22830041028936,131517390.0,118950000
Maruti,Alto LXi,Petrol,Individual,Manual,First Owner,14,2857.1428571428573,10.596659732783579,11,Maruti_Petrol_First Owner,148.3532362589701,58102460.0,47275000
Ford,Endeavour 3.0L 4X2,Diesel,Individual,Automatic,First Owner,13,8461.538461538461,11.608244735642321,12,Ford_Diesel_First Owner,150.90718156335018,134488160.0,152500000
Hyundai,i20 Sportz 1.4,Diesel,Individual,Manual,First Owner,11,5090.909090909091,10.933124826700707,7,Hyundai_Diesel_First Owner,120.26437309370777,149491760.0,137250000
Skoda,Rapid 1.5 TDI,Diesel,Dealer,Manual,Second Owner,9,13888.888888888889,11.736077016252437,9,Skoda_Diesel_Second Owner,105.62469314627194,166836900.0,198250000
Maruti,Omni E MPI,Petrol,Individual,Manual,First Owner,8,5000.0,10.596659732783579,2,Maruti_Petrol_First Owner,84.77327786226863,81530150.0,67100000
Hyundai,Xcent 1.2 VTVT,Petrol,Individual,Manual,First Owner,6,16666.666666666668,11.51293546492023,6,Hyundai_Petrol_First Owner,69.07761278952137,160729340.0,160125000
Maruti,Alto K10 VXI,Petrol,Individual,Manual,Second Owner,8,4000.0,10.373522431293592,2,Maruti_Petrol_Second Owner,82.98817945034874,102292720.0,97600000
Maruti,Zen Estilo 1.1,Petrol,Individual,Manual,Second Owner,17,2352.9411764705883,10.596659732783579,14,Maruti_Petrol_Second Owner,180.14321545732082,41779812.0,45750000
Toyota,Innova 2.5 G,Diesel,Individual,Manual,Second Owner,17,11389.588235294117,12.173673413083495,10,Toyota_Diesel_Second Owner,206.95244802241942,146070320.0,100650000
Maruti,Alto 800 LXI,Petrol,Individual,Manual,Multiple Owners,11,6363.636363636364,11.156264806643742,1,Maruti_Petrol_Multiple Owners,122.71891287308117,63708670.0,57950000
Maruti,Swift Dzire VDI,Diesel,Individual,Manual,First Owner,13,5230.7692307692305,11.127277689932466,12,Maruti_Diesel_First Owner,144.65460996912205,125724020.0,112850000
Tata,Nano CX,Petrol,Individual,Manual,First Owner,12,2500.0,10.308985993422082,5,Tata_Petrol_First Owner,123.70783192106498,38312188.0,24400000
Volkswagen,Vento 1.5 TDI,Diesel,Dealer,Manual,First Owner,10,4300.1,10.669001905221974,7,Volkswagen_Diesel_First Owner,106.69001905221974,169189760.0,170800000
Tata,Aria Pride,Diesel,Individual,Manual,Multiple Owners,14,10142.857142857143,11.863589378812122,12,Tata_Diesel_Multiple Owners,166.0902513033697,129159470.0,102785000
Mahindra,Bolero SLX 4WD,Diesel,Individual,Manual,First Owner,14,357.14285714285717,8.517393171418904,11,Mahindra_Diesel_First Owner,119.24350439986466,128076550.0,94550000
